turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
"15","H8","hit","B8","miss","SSSS.....S|..M....M..|..M.M..S..|..MSS.....|.M...M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M...M...|.MMMSHHH..|.MHM..MM.S|.MHM.....M"
"16","H9","miss","C9","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.....|.M...M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.M...M...|.MMMSHHHM.|.MHM..MM.S|.MHM.....M"
"17","H5","sunk","E4","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.....|.M.M.M..M.|S....M...M|.....S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S....M....|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"18","E3","miss","G2","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.....|.M.M.M..M.|S....M...M|.M...S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M...S.S.|..SS....M.|S.M..M....|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"19","C6","miss","D7","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M..M.|S....M...M|.M...S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..S...|..M..MS.S.|..SS....M.|S.M..M....|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"20","B8","miss","F5","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M..M.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..SM..|..M..MS.S.|..SS....M.|S.M..M....|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"21","E10","miss","E8","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MM....|SSS..M.SSS","....M.S...|...S..SM..|..M..MS.S.|..SS....M.|S.M..M...M|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"22","B3","miss","J10","hit","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MM....|SSS..M.SSH","....M.S...|..MS..SM..|..M..MS.S.|..SS....M.|S.M..M...M|S..S...SS.|S.MMMMMMM.|.MMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"23","H1","miss","I10","miss","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MM...M|SSS..M.SSH","....M.S...|..MS..SM..|..M..MS.S.|..SS....M.|S.M..M...M|S..S...SS.|S.MMMMMMM.|MMMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"24","E1","hit","J9","hit","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MM...M|SSS..M.SHH","....M.S...|..MS..SM..|..M..MS.S.|..SS....M.|H.M..M...M|S..S...SS.|S.MMMMMMM.|MMMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"25","D1","miss","J8","sunk","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..S.|.MM.MMMMMM|SSS..MMHHH","....M.S...|..MS..SM..|..M..MS.S.|M.SS....M.|H.M..M...M|S..S...SS.|S.MMMMMMM.|MMMMHHHHM.|.MHMMMMMMS|.MHM.....M"
"26","F1","hit","H9","hit","SSSS.....S|..M....M..|..M.M..SM.|..MSS.M...|.M.M.M.MM.|S...MM...M|.M...S..S.|..S..S..H.|.MM.MMMMMM|SSS..MMHHH","....M.S...|..MS..SM..|..M..MS.S.|M.SS....M.|H.M..M...M|H..S...SS.|S.MMMMMMM.|MMMMHHHHM.|.MHMMMMMMS|.MHM.....M"
